10 15 18 18 15 14 13 13 15 21 26 39 52 64 70 66 57 40 22 11 16 25 28 25 18 12 
10  9  7  9 17 32 51 67 70 66 55 39 23 16 18 27 32 32 28 23 16 11  8 11 18 33 
56 72 79 77 67 46 22 14  5 14 16 17 10  8  6  5  5  9 20 40 57 66 67 61 43 18 
 3  0  2  6  6  6  5  6  6  7  8 15 24 41 59 69 71 66 44 23  5  4 15 17 23 23 
20 19 15 13  9 10 14 25 40 58 65 66 61 45 21  9 13 16 22 17 12  9  8 10 14 16 
22 36 51 64 71 68 65 40 17  3 14 17 18 19 19 15 11  8  7  8 12 26 47 68 79 76 
61 35 13  5 15 20 23 26 25 21 16 13  8  8 10 22 40 56 65 67 61 47 26 10  9 22 
25 21 10  9  9  9 11 19 33 55 69 75 77 70 55 36 17 16 13 24 27 23 18 13 12 15 
16 19 27 43 60 70 75 69 50 25 13  6  7  8 11 12  8  6  4  5  5 10 19 36 58 70 
72 66 51 30  8  5  9 14 16 15 15 12 13 14 14 15 20 31 45 60 71 70 62 45 26 12 
15 20 22 22 21 19 19 19 19 20 25 41 58 70 73 68 53 32 16 10  6 11 20 18 13  9 
 9  8 11 12 20 38 56 67 71 65 48 25  5  8 11 19 30 28 25 17 15 10  7  7 13 25 
46 68 79 77 67 48 23 13 24 32 35 33 29 24 18 14 12 14 20 36 55 69 75 72 60 43 
26 16 16 20 21 20 18 14 13 11  9 11 19 34 53 66 73 72 61 43 22 11 16 20 22 21 
20 20 20 19 16 16 21 31 49 69 74 71 60 41 23 15  7 13 14 17 14  8  7  7  7  8 
17 30 49 60 71 65 58 39 20 10 21 24 25 21 16  9  4  4  5  9 19 36 56 70 80 80 
68 48 27 16 11 14 14 11  8  5  6  7  8 10 18 36 53 65 72 73 64 46 28 13 12 17 
20 20 18 12 11  9 11 10 16 30 49 68 69 69 63 44 28  8  8 12 14 13 12  9  7 10 
 9 13 21 39 59 76 76 71 55 26  8 12 11 20 22 21 21 17 16 17 15 19 28 42 59 70 
73 66 49 24  6  9 16 20 22 21 20 20 20 19 16 16 21 31 49 69 74 71 60 41 23 15 
19 26 28 28 24 18 12  8  7  8 16 33 52 68 78 80 74 57 35 18 13 23 30 28 19 10 
 6  5 10 19 33 50 68 79 81 75 61 42 25 16 11 15 19 20 18 17 15 11  9  9 12 23 
40 58 71 70 56 36 19 11 17 25 30 30 27 22 17 11  7  7 13 31 52 69 75 68 46 21 
 6  8 20 20 22 16 10 10 10 12 13 17 28 47 64 72 72 63 47 23  9 19 18 18 25 23 
18 19 21 25 24 25 27 39 59 72 77 69 60 38 17 14  9 12 16 15 14 11  8  6  5  9 
18 39 56 68 71 67 54 30  9  6  8 10 17 16 12 10  8  4  2  4 12 27 48 66 76 77 
71 54 26  3  9 18 19 19 19 15 12 11 10 12 20 36 56 72 80 75 59 34 10  9 13 18 
27 26 25 18 12 10  9 13 16 33 53 73 77 75 64 44 23 16 19 23 26 25 21 18 14 13 
14 17 24 37 56 73 82 76 59 31  7  7 16 23 28 28 25 21 19 17 16 13 13 19 37 57 
69 71 62 45 28 20 14 25 32 34 30 20 12  7  6 11 24 45 67 79 82 76 65 46 25 15
