St John's       47 37    52 44
Halifax         44 53    63 31
Sydney          46 10    60 03
Yarmouth        43 50    66 05
Charlottown     46 17    63 08
Fredericton     45 52    66 32
Schefferville   54 48    66 48
Arvida          48 00    71 50
Baggotville     48 20    71 00
Quebec          46 48    71 24
Sherbrooke      45 26    71 41
Montreal        45 28    73 45
Ottawa          45 19    75 40
Toronto         43 38    79 24
London          43 02    81 09
Thunder Bay     48 22    89 19
Winnipeg        49 55    97 14
The Pas         53 58   101 06
Churchill       58 44    94 04
Regina          50 26   104 40
Prince Albert   53 13   105 40
Uranium City    60 00   109 00
Edmonton        53 41   113 28
Calgary         51 07   114 01
Kamloops        50 42   120 27
Vancouver       49 18   123 07
Victoria        48 22   123 45
Prince George   53 53   122 41
Prince Rupert   54 18   130 27
Whitehorse      60 43   135 04
Dawson          64 03   139 08
Yellowknife     62 28   114 26
Iqaaluit        63 45    68 33
Inuvik          68 18   133 29
Resolute        74 43    94 57
