  47 37    52 44
  44 53    63 31
  46 10    60 03
  43 50    66 05
  46 17    63 08
  45 52    66 32
  54 48    66 48
  48 00    71 50
  48 20    71 00
  46 48    71 24
  45 26    71 41
  45 28    73 45
  45 19    75 40
  43 38    79 24
  43 02    81 09
  48 22    89 19
  49 55    97 14
  53 58   101 06
  58 44    94 04
  50 26   104 40
  53 13   105 40
  60 00   109 00
  53 41   113 28
  51 07   114 01
  50 42   120 27
  49 18   123 07
  48 22   123 45
  53 53   122 41
  54 18   130 27
  60 43   135 04
  64 03   139 08
  62 28   114 26
  63 45    68 33
  68 18   133 29
  74 43    94 57
